City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Mafinga,TZ,77.65,scattered clouds,-7.25,35.0667,
557,Roma,US,75.51,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
558,Tonj,SS,77.41,light rain,7.2737,28.6822,Lakan Hotel
560,Atambua,ID,71.74,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
570,Mayumba,GA,76.98,overcast clouds,-3.432,10.6554,LIKWALE LODGE
573,Popondetta,PG,71.22,overcast clouds,-8.7537,148.2534,Timos Transit House
575,Tiznit,MA,72.73,clear sky,29.5833,-9.5,
580,Kailua,US,77.14,mist,21.4022,-157.7394,Sheffield House Bed & Breakfast
582,Maumere,ID,78.19,overcast clouds,-8.6199,122.2111,Sylvia Hotel
585,Eyl,SO,78.57,broken clouds,7.9803,49.8164,Amiin Hotel
586,Cap Malheureux,MU,72.09,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
594,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
595,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
597,Soverato,IT,71.55,scattered clouds,38.685,16.5499,Hotel San Domenico
599,General Artigas,PY,73.29,overcast clouds,-26.9333,-56.2167,Hotel Calera Del Sur
602,Zhongxing,CN,71.46,light rain,33.7039,118.6792,New Century Grand Hotel Siyang
605,Avera,US,74.08,clear sky,33.194,-82.5271,
609,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
614,Luanda,AO,73.44,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
622,Marsaxlokk,MT,78.08,few clouds,35.8419,14.5431,Water's Edge
626,Kupang,ID,76.78,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
628,Peddapuram,IN,78.17,overcast clouds,17.0833,82.1333,Home
629,Los Llanos De Aridane,ES,72.12,volcanic ash,28.6585,-17.9182,Valle Aridane
630,Axim,GH,79.61,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
639,Larap,PH,79.23,scattered clouds,14.299,122.6504,Montemayor Cove
647,Mahuva,IN,79.5,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
659,Sumbe,AO,73.02,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
660,Suicheng,CN,72.77,light rain,33.8963,117.9331,Junyue Hotel
661,Dutlwe,BW,72.01,clear sky,-23.9833,23.9,
663,San Onofre,CO,79.41,overcast clouds,9.7359,-75.5263,Hotel Sinai
670,Owando,CG,78.75,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
674,Tawau,MY,77.13,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
676,Peniche,PT,78.3,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
