City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Chunskiy,RU,56.0815,99.6342,37.8,94,100,2.44,overcast clouds
78,Tevaitoa,PF,-16.7833,-151.5,77.54,70,17,10.33,few clouds
79,Mataura,NZ,-46.1927,168.8643,45.48,91,70,9.06,broken clouds
80,Provideniya,RU,64.3833,-173.3,32.65,76,97,3.22,overcast clouds
81,Manokwari,ID,-0.8667,134.0833,77.36,84,99,6.24,overcast clouds
82,Jalu,LY,29.0331,21.5482,92.64,15,0,11.01,clear sky
83,Houma,US,29.5958,-90.7195,77.0,61,1,11.5,clear sky
84,Ubrique,ES,36.6778,-5.446,76.98,84,73,7.56,broken clouds
85,Muli,MV,2.9167,73.5667,83.35,77,75,17.83,broken clouds
86,Cape Town,ZA,-33.9258,18.4232,63.88,75,35,1.99,scattered clouds
87,Qaanaaq,GL,77.484,-69.3632,19.26,61,18,5.14,few clouds
88,Ketchikan,US,55.3422,-131.6461,51.78,93,90,19.57,moderate rain
89,Albany,US,42.6001,-73.9662,81.03,72,98,14.61,overcast clouds
90,Aksarka,RU,66.5606,67.7975,36.32,82,18,3.04,few clouds
91,Barrow,US,71.2906,-156.7887,21.22,93,40,9.22,scattered clouds
92,Zapatoca,CO,6.8153,-73.2677,74.16,73,78,5.64,light rain
93,Cantaura,VE,9.3057,-64.3584,92.98,40,26,7.94,scattered clouds
94,Chara,RU,56.9064,118.2631,36.88,99,100,0.92,light rain
95,La Palma,US,33.8464,-118.0467,93.02,66,1,1.01,clear sky
96,Sulangan,PH,11.1373,123.7228,83.79,76,81,13.11,moderate rain
97,Hurghada,EG,27.2574,33.8129,86.85,36,0,21.32,clear sky
98,Alice Springs,AU,-23.7,133.8833,49.55,32,10,5.75,clear sky
99,San Marcos,US,33.1434,-117.1661,91.0,63,1,1.01,clear sky
100,Kapaa,US,22.0752,-159.319,75.52,81,90,12.66,overcast clouds
101,Chuy,UY,-33.6971,-53.4616,55.92,94,100,3.87,overcast clouds
102,Praia,CV,14.9215,-23.5087,84.74,61,20,13.8,few clouds
103,Merauke,ID,-8.4667,140.3333,76.28,83,93,13.89,overcast clouds
104,Timra,SE,62.487,17.3257,51.67,96,90,10.36,light rain
105,Leningradskiy,RU,69.3833,178.4167,24.78,94,100,6.11,overcast clouds
106,Anisoc,GQ,1.8658,10.7689,71.73,94,91,3.27,overcast clouds
107,Ballina,AU,-28.8667,153.5667,55.58,87,1,7.25,clear sky
108,Kavieng,PG,-2.5744,150.7967,81.46,75,100,11.21,overcast clouds
109,Columbus,US,39.9612,-82.9988,61.59,58,75,18.41,broken clouds
110,Iqaluit,CA,63.7506,-68.5145,32.29,74,18,7.0,few clouds
111,Pisco,PE,-13.7,-76.2167,65.01,77,72,10.36,broken clouds
112,Arlit,NE,18.7369,7.3853,100.94,15,54,3.96,broken clouds
113,Butaritari,KI,3.0707,172.7902,80.83,79,64,13.51,light rain
114,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,17.27,clear sky
115,Vrnograc,BA,45.1636,15.9536,61.93,70,5,3.67,clear sky
116,Lagoa,PT,39.05,-27.9833,69.08,64,65,10.45,broken clouds
117,Port Elizabeth,ZA,-33.918,25.5701,66.09,64,95,17.94,overcast clouds
118,New Norfolk,AU,-42.7826,147.0587,47.91,72,56,1.01,broken clouds
119,Isangel,VU,-19.55,169.2667,70.52,80,93,17.74,overcast clouds
120,Jiutai,CN,44.1525,125.8328,48.51,79,23,4.43,few clouds
